IP Address,Datetime,ID,Shape
12.183.163.194,Mon Dec 09 2019 17:02:48 GMT-0800 (Pacific Standard Time),1575939768979,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T01:02:48.979Z"",""ID"":1575939768979,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class III Bicycle Route"",""Comments"":""Improvements part of a recently completed CMAQ Project"",""Commenter Name"":""Danny Reed Jr. "",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.02318,37.313072],[-121.017634,37.314433]]}}"
12.183.163.194,Mon Dec 09 2019 17:04:10 GMT-0800 (Pacific Standard Time),1575939850539,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T01:04:10.539Z"",""ID"":1575939850539,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":"""",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.028309,37.311216],[-121.031034,37.318332]]}}"
12.183.163.194,Mon Dec 09 2019 17:05:51 GMT-0800 (Pacific Standard Time),1575939951179,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T01:05:51.179Z"",""ID"":1575939951179,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":"""",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.031034,37.318349],[-121.029596,37.318341]]}}"
216.84.202.138,Tue Dec 10 2019 10:25:27 GMT-0800 (Pacific Standard Time),1576002327719,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T18:25:27.719Z"",""ID"":1576002327719,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Proposed"",""What kind of bikeway should this route be?"":""Class III Bicycle Route"",""Comments"":""ADD CLASS 3 BETWEEN YOSEMITE AND WASHBURN"",""Commenter Name"":""LONNIE STATZER"",""Commenter Jurisdiction"":""City of Waterford""},""geometry"":{""type"":""LineString"",""coordinates"":[[-120.767112,37.638443],[-120.767255,37.644945]]}}"
216.84.202.138,Tue Dec 10 2019 10:36:58 GMT-0800 (Pacific Standard Time),1576003018329,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T18:36:58.329Z"",""ID"":1576003018329,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Proposed"",""What kind of bikeway should this route be?"":""Class I Multi-Use Path"",""Comments"":""Add class 1 bike facility on canal bank from Tim Bell to Kadota. Also Please delete the class 1 bike facility shown on Western, Washburn and Stein. These are fully built out streets with no room for a class 1 bike facility.   "",""Commenter Name"":""Mike Pitcock"",""Commenter Jurisdiction"":""City of Waterford""},""geometry"":{""type"":""LineString"",""coordinates"":[[-120.755775,37.646689],[-120.764186,37.646706],[-120.767341,37.645517],[-120.772104,37.645432],[-120.772254,37.645177],[-120.772319,37.643597]]}}"
216.84.202.138,Tue Dec 10 2019 10:41:25 GMT-0800 (Pacific Standard Time),1576003285260,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T18:41:25.260Z"",""ID"":1576003285260,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Proposed"",""What kind of bikeway should this route be?"":""Class III Bicycle Route"",""Comments"":""Please make a correction for us. We would like to have a class III bike lane go from Yosemite North to F street"",""Commenter Name"":""Lonnie Statzer"",""Commenter Jurisdiction"":""City of Waterford""},""geometry"":{""type"":""LineString"",""coordinates"":[[-120.767112,37.638466],[-120.767169,37.645625],[-120.766768,37.645874]]}}"
12.183.163.194,Tue Dec 10 2019 12:19:38 GMT-0800 (Pacific Standard Time),1576009178398,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T20:19:38.398Z"",""ID"":1576009178398,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class III Bicycle Route"",""Comments"":""Improvements were recently completed as part of a Measure L project."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.029607,37.318332],[-121.026903,37.319023]]}}"
12.183.163.194,Tue Dec 10 2019 12:21:03 GMT-0800 (Pacific Standard Time),1576009263417,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T20:21:03.417Z"",""ID"":1576009263417,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Improvements recently constructed as part of a Measure L project."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.026893,37.319023],[-121.023084,37.319962]]}}"
12.183.163.194,Tue Dec 10 2019 12:24:16 GMT-0800 (Pacific Standard Time),1576009456082,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T20:24:16.082Z"",""ID"":1576009456082,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Improvements recently constructed as part of a Measure L project.\nBike Lan only exists on the North bound side of the road."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.030991,37.309274],[-121.030991,37.311147]]}}"
216.162.171.2,Tue Dec 10 2019 14:57:11 GMT-0800 (Pacific Standard Time),1576018631773,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T22:57:11.773Z"",""ID"":1576018631773,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Buffered Bicycle Lane"",""Comments"":"""",""Commenter Name"":""Randall Jones"",""Commenter Jurisdiction"":""City of Turlock""},""geometry"":{""type"":""LineString"",""coordinates"":[[-120.885358,37.529366],[-120.826306,37.52906]]}}"
