Site Number,Site Option,TD Number,BTS Number,BTS Name,City,Community,Council District,Text Description of Location,Type,X-Coordinate,Y-Coordinate,Comments,Status,Reason for Removal,Description of Reason for Removal,# No,No Comments,# Yes,Yes Comments,Survey Demographic
110,,,,Venice and Lincoln,Los Angeles,,10,,None,-118.453517,33.9939361,,Existing,,,1,,6,,
111,,,,California and Lincoln,Santa Monica,,11,,None,-118.460995,33.9984051,,Existing,,,2,,9,,
112,,,,Rose and 7th,Santa Monica,,11,,None,-118.46872,34.0010071,,Existing,,,4,,10,,
113,,,,Rose and Rennie,Santa Monica,,11,,None,-118.47295,33.9987121,,Existing,,,0,,0,,
114,,,,Rose and Main,Santa Monica,,11,,None,-118.477394,33.9962841,,Existing,,,0,,7,,
115,,,,Ocean Front Walk and Navy,Santa Monica,,11,,None,-118.481557,33.9956751,,Existing,,,5,,2,,
116,,,,DSM Expo Line Station,Santa Monica,,11,,None,-118.4914,34.0144011,,Existing,,,5,,1,,
117,,,,17th St / SMC Expo Line Station,Santa Monica,,11,,None,-118.479749,34.0237121,,Existing,,,2,,0,,
118,,,,Washington and Abbot Kinney,Santa Monica,,11,,None,-118.451639,33.9884381,,Existing,,,2,,7,,
119,,,,Abbot Kinney and Cadiz,Venice,,11,,None,-118.468309,33.9911671,,Existing,,,0,,5,,
120,,,,Windward and Main,Venice,,11,,None,-118.471716,33.9881171,,Existing,,,4,,8,,
121,,,,Pacific and North Venice,Venice,,11,,None,-118.469962,33.9849491,,Existing,,,5,,9,,
122,,,,Ocean Front Walk and North Venice,Los Angeles,,10,,None,-118.471562,33.9843961,,Existing,,,0,,6,,
123,,,,Expo Park/LAFC,Los Angeles,,10,,None,-118.2630824,33.77985074,,Existing,,,5,,10,,
124,,,,Cabrillo Beach,Los Angeles,,10,,None,-118.285,33.71094,,Existing,,,2,,5,,
125,,,,DoubleTree Hotel,Los Angeles,,10,,None,-118.283,33.71933,,Existing,,,0,,8,,
126,,,,Crafted 22nd St Park,Los Angeles,,10,,None,-118.281,33.72578,,Existing,,,5,,7,,
127,,,,Ports O'Call,Los Angeles,,10,,None,-118.278,33.73357,,Existing,,,2,,9,,
128,,,,Downtown Harbor,Los Angeles,,10,,None,-118.279,33.7391,,Existing,,,3,,1,,
129,,,,USS IOWA,Los Angeles,,10,,None,-118.278,33.74139,,Existing,,,5,,1,,
130,,,,Fanfare Fountain,Los Angeles,,10,,None,-118.28,33.74919,,Existing,,,4,,3,,
131,,,,Catalina Express,Los Angeles,,10,,None,-118.275,33.74897,,Existing,,,3,,10,,
132,,,,Waterfront Park (West),Los Angeles,,10,,None,-118.276,33.77184,,Existing,,,2,,1,,
133,,,,Waterfront Park (East),Los Angeles,,10,,None,-118.268,33.77229,,Existing,,,0,,10,,
134,,,,Banning's Landing,Los Angeles,,10,,None,-118.261,33.76669,,Existing,,,2,,10,,
135,,,,Anaheim & Avalon,Los Angeles,,10,,None,-118.263,33.77985,,Existing,,,2,,3,,
136,,,,4th & Vermont,Los Angeles,,10,,None,-118.290901,34.066999,,Existing,,,4,,5,,
137,,,,Shatto Pl & Wilshire,Los Angeles,,10,,None,-118.290057,34.062417,,Existing,,,3,,3,,
138,,,,7th & Berendo,Los Angeles,,10,,None,-118.294959,34.059696,,Existing,,,3,,2,,
139,,,,8th & Vermont,Los Angeles,,10,,None,-118.29201,34.05762,,Existing,,,4,,6,,
140,,,,7th & Park View,Los Angeles,,10,,None,-118.279688,34.057681,,Existing,,,4,,5,,
141,,,,Westlake & 3rd,Los Angeles,,10,,None,-118.27145,34.062206,,Existing,,,5,,4,,
142,,,,Westlake/Macarthur Park Station,Los Angeles,,10,,None,-118.275027,34.056806,,Existing,,,0,,10,,
143,,,,Union & Olympic,Los Angeles,,10,,None,-118.274215,34.048921,,Existing,,,0,,8,,
144,,,,Union & 7th,Los Angeles,,10,,None,-118.270963,34.054061,,Existing,,,2,,5,,
